,category
Trades & Services,3346
Information & Communication Technology,2802
Healthcare & Medical,2371
"Manufacturing, Transport & Logistics",2220
Administration & Office Support,1766
Accounting,1648
Hospitality & Tourism,1483
Sales,1464
Government & Defence,1346
Construction,1326
Education & Training,1224
Retail & Consumer Products,986
Community Services & Development,933
"Mining, Resources & Energy",857
Engineering,837
Call Centre & Customer Service,720
Banking & Financial Services,707
Marketing & Communications,701
Human Resources & Recruitment,700
Real Estate & Property,597
Legal,593
Design & Architecture,296
Insurance & Superannuation,258
"Advertising, Arts & Media",162
Consulting & Strategy,158
Science & Technology,142
Sport & Recreation,140
"Farming, Animals & Conservation",107
CEO & General Management,94
Self Employment,16
