Major Group,Sub-Major Group,Minor Group,Minor Group Description,Predominant Skill Level(s),,
1,11,111,"Chief Executives, General Managers and Legislators",1,,
1,12,121,Farmers and Farm Managers,1,,
1,13,131,"Advertising, Public Relations and Sales Managers",1,,
1,13,132,Business Administration Managers,1,,
1,13,133,"Construction, Distribution and Production Managers",1,,
1,13,134,"Education, Health and Welfare Services Managers",1,,
1,13,135,ICT Managers,1,,
1,13,139,Miscellaneous Specialist Managers,1,,
1,14,141,Accommodation and Hospitality Managers,2,,
1,14,142,Retail Managers,2,,
1,14,149,"Miscellaneous Hospitality, Retail and Service Managers",2,,
2,21,211,Arts Professionals,"1,2",,
2,21,212,Media Professionals,1,,
2,22,221,"Accountants, Auditors and Company Secretaries",1,,
2,22,222,"Financial Brokers and Dealers, and Investment Advisers","1,2",,
2,22,223,Human Resource and Training Professionals,1,,
2,22,224,Information and Organisation Professionals,1,,
2,22,225,"Sales, Marketing and Public Relations Professionals",1,,
2,23,231,Air and Marine Transport Professionals,"1,2",,
2,23,232,"Architects, Designers, Planners and Surveyors",1,,
2,23,233,Engineering Professionals,1,,
2,23,234,Natural and Physical Science Professionals,1,,
2,24,241,School Teachers,1,,
2,24,242,Tertiary Education Teachers,1,,
2,24,249,Miscellaneous Education Professionals,1,,
2,25,251,Health Diagnostic and Promotion Professionals,1,,
2,25,252,Health Therapy Professionals,1,,
2,25,253,Medical Practitioners,1,,
2,25,254,Midwifery and Nursing Professionals,1,,
2,26,261,"Business and Systems Analysts, and Programmers",1,,
2,26,262,"Database and Systems Administrators, and ICT Security Specialists",1,,
2,26,263,ICT Network and Support Professionals,1,,
2,27,271,Legal Professionals,1,,
2,27,272,Social and Welfare Professionals,1,,
3,31,311,"Agricultural, Medical and Science Technicians","2,3",,
3,31,312,Building and Engineering Technicians,2,,
3,31,313,ICT and Telecommunications Technicians,2,,
3,32,321,Automotive Electricians and Mechanics,3,,
3,32,322,Fabrication Engineering Trades Workers,3,,
3,32,323,Mechanical Engineering Trades Workers,3,,
3,32,324,"Panelbeaters, and Vehicle Body Builders, Trimmers and Painters",3,,
3,33,331,"Bricklayers, and Carpenters and Joiners",3,,
3,33,332,Floor Finishers and Painting Trades Workers,3,,
3,33,333,"Glaziers, Plasterers and Tilers",3,,
3,33,334,Plumbers,3,,
3,34,341,Electricians,3,,
3,34,342,Electronics and Telecommunications Trades Workers,3,,
3,35,351,Food Trades Workers,"2,3,4",,
3,36,361,"Animal Attendants and Trainers, and Shearers","3,4",,
3,36,362,Horticultural Trades Workers,3,,
3,39,391,Hairdressers,3,,
3,39,392,Printing Trades Workers,3,,
3,39,393,"Textile, Clothing and Footwear Trades Workers",3,,
3,39,394,Wood Trades Workers,3,,
3,39,399,Miscellaneous Technicians and Trades Workers,3,,
4,42,421,Child Carers,"3,4",,
4,42,422,Education Aides,4,,
4,42,423,Personal Carers and Assistants,"3,4",,
4,43,431,Hospitality Workers,"2,4,5",,
4,44,441,"Defence Force Members, Fire Fighters and Police","2,3",,
4,44,442,Prison and Security Officers,"4,5",,
4,45,451,Personal Service and Travel Workers,"3,4",,
4,45,452,Sports and Fitness Workers,"3,4",,
5,51,511,"Contract, Program and Project Administrators",2,,
5,51,512,Office and Practice Managers,2,,
5,52,521,Personal Assistants and Secretaries,2,,
5,53,531,General Clerks,4,,
5,53,532,Keyboard Operators,4,,
5,54,541,Call or Contact Centre Information Clerks,4,,
5,54,542,Receptionists,4,,
5,55,551,Accounting Clerks and Bookkeepers,"3,4",,
5,55,552,Financial and Insurance Clerks,"3,4",,
5,56,561,Clerical and Office Support Workers,5,,
5,59,591,Logistics Clerks,4,,
5,59,599,Miscellaneous Clerical and Administrative Workers,"3,4",,
6,61,611,Insurance Agents and Sales Representatives,"3,4",,
6,61,612,Real Estate Sales Agents,3,,
6,62,621,Sales Assistants and Salespersons,5,,
6,63,631,Checkout Operators and Office Cashiers,5,,
6,63,639,Miscellaneous Sales Support Workers,"3,4,5",,
7,71,711,Machine Operators,"3,4",,
7,71,712,Stationary Plant Operators,"3,4",,
7,72,721,Mobile Plant Operators,4,,
7,73,731,"Automobile, Bus and Rail Drivers",4,,
7,73,732,Delivery Drivers,4,,
7,73,733,Truck Drivers,4,,
7,74,741,Storepersons,4,,
8,81,811,Cleaners and Laundry Workers,"4,5",,
8,82,821,Construction and Mining Labourers,"4,5",,
8,83,831,Food Process Workers,"4,5",,
8,83,832,Packers and Product Assemblers,5,,
8,83,839,Miscellaneous Factory Process Workers,"4,5",,
8,84,841,"Farm, Forestry and Garden Workers",5,,
8,85,851,Food Preparation Assistants,5,,
8,89,891,Freight Handlers and Shelf Fillers,5,,
8,89,899,Miscellaneous Labourers,"4,5",,
