Major Group,Sub-Major Group,Sub-Major Group Description,Predominant Skill Level(s),,
1,11,"Chief Executives, General Managers and Legislators",1,,
1,12,Farmers and Farm Managers,1,,
1,13,Specialist Managers,1,,
1,14,"Hospitality, Retail and Service Managers",2,,
2,21,Arts and Media Professionals,"1,2",,
2,22,"Business, Human Resource and Marketing Professionals",1,,
2,23,"Design, Engineering, Science and Transport Professionals","1,2",,
2,24,Education Professionals,1,,
2,25,Health Professionals,1,,
2,26,ICT Professionals,1,,
2,27,"Legal, Social and Welfare Professionals",1,,
3,31,"Engineering, ICT and Science Technicians","2,3",,
3,32,Automotive and Engineering Trades Workers,3,,
3,33,Construction Trades Workers,3,,
3,34,Electrotechnology and Telecommunications Trades Workers,3,,
3,35,Food Trades Workers,"2,3,4",,
3,36,Skilled Animal and Horticultural Workers,"3,4",,
3,39,Other Technicians and Trades Workers,3,,
4,41,Health and Welfare Support Workers,"1,2",,
4,42,Carers and Aides,"3,4",,
4,43,Hospitality Workers,"2,4,5",,
4,44,Protective Service Workers,"2,3,4,5",,
4,45,Sports and Personal Service Workers,"3,4",,
5,51,Office Managers and Program Administrators,2,,
5,52,Personal Assistants and Secretaries,2,,
5,53,General Clerical Workers,4,,
5,54,Inquiry Clerks and Receptionists,4,,
5,55,Numerical Clerks,"3,4",,
5,56,Clerical and Office Support Workers,5,,
5,59,Other Clerical and Administrative Workers,"3,4",,
6,61,Sales Representatives and Agents,"3,4",,
6,62,Sales Assistants and Salespersons,5,,
6,63,Sales Support Workers,5,,
7,71,Machine and Stationary Plant Operators,"3,4",,
7,72,Mobile Plant Operators,4,,
7,73,Road and Rail Drivers,4,,
7,74,Storepersons,4,,
8,81,Cleaners and Laundry Workers,"4,5",,
8,82,Construction and Mining Labourers,"4,5",,
8,83,Factory Process Workers,"4,5",,
8,84,"Farm, Forestry and Garden Workers",5,,
8,85,Food Preparation Assistants,5,,
8,89,Other Labourers,5,,
