Rank,Company,Local Revenue in $M,Market Cap or Private Sale Price in $M,Private or Public
1,Lendlease,"$13,130","$6,350",Public
2,Downer,"$11,900","$3,180",Public
3,Cimic Group Ltd,"$10,900","$8,200",Public
4,Laing O'Rourke,"$4,300","$6,000",Private
5,John Holland,"$4,200","$1,000",Private
6,Thiess,"$4,100","$4,300",Private
7,CPB Contractors,"$3,900",$900,Private
8,Multiplex,"$3,700","$7,300",Private
9,Broadspectrum,"$2,739",$472,Private - Offshore
10,Hutchinson Builders,"$2,670","$2,600",Private
11,Built,"$2,500",Unknown,Private
12,Fulton Hogan,"$2,000",Unknown,Public Unlisted
13,Probuild,"$2,000",Unknown,Private - Offshore
14,Monadelphous,"$1,930","$1,300",Public
15,Acciona,"$1,700","$9,000",Public - Offshore
16,Service Stream,"$1,500",$415,Public
17,Deicorp,"$1,330","$1,330",Private
18,BMD,"$1,310",Unknown,Private
19,Reliance Worldwide,"$1,162","$3,100",Public
20,NRW Holdings Limited,"$1,160","$1,300",Public
21,Hansen Yunken,"$1,150","$1,394",Private
22,BESIX / Watpac,$919,"$4,881",Private
23,Kane Constructions,$913,"$1,044",Private
24,Mirvac,$906,"$7,990",Public
25,Johns Lyng Group,$898,$703,Public
26,McMahon,$800,Unknown,Private
27,GR Engineering Services,$651,$350,Public
28,FKG Group,$650,Unknown,Private
29,SRG Global Ltd,$644,$220,Public
30,SMEC Holdings,$640,$400,Private
31,Georgiou,$608,Unknown,Private
32,Daracon Group,$600,Unknown,Private
33,Sunland Group,$558,$328,Public
34,Southern Cross Electrical Engineering,$553,$142,Public
35,Calibre Diona,$500,Unknown,Private
36,FDC Constructions,$500,"$1,000",Private
37,Geocon Constructors,$500,Unknown,Private
38,ADCO,$487,"$1,930",Private
39,Hickory,$440,"$1,617",Private
40,Seymour Whyte,$433,$113,Private-Offshore
41,GWA Group Ltd,$418,$513,Public
42,Richard Crookes Constructions,$415,$445,Private
43,McNab Construction,$400,Unknown,Private
44,Intega Group Limited,$398,$129,Public
45,Golding Contractors,$369,$85,Private
46,Winslow Group,$331,Unknown,Private
47,Wagner Group,$323,$149,Public
48,Grocon,$317,Unknown,Private
49,Decmil Group,$313,$28,Public
50,Citywide Service Solutions,$300,Unknown,Public Unlisted
51,Abergeldie Contractors,$276,Unknown,Private
52,Bouyges Australia,$251,"$1,035",Public-Offshore
53,Buildcorp Group,$250,Unknown,Private
54,ICON,$250,"$1,800",Private
55,BGC Construction,$243,"$1,800",Private
56,McIllwain Civil,$240,Unknown,Private
57,Shadforth Civil,$200,Unknown,Private
58,Maas Group Holdings,$159,$678,Public
59,Hazell Bros,$150,Unknown,Private
60,Shamrock Civil,$150,Unknown,Private
61,Bechtel Australia,$141,Unknown,Private - Offshore
62,Civil Mining and Construction (CMC),$130,Unknown,Private
63,Saunders Intl Ltd,$129,$108,Public
64,Haslin Constructions,$120,Unknown,Private
65,Moits,$120,Unknown,Private
66,Genusplus Group Ltd,$117,$165,Public
67,Delta Group,$104,Unknown,Private
68,Lucas Total Contract Solutions,$100,Unknown,Private
69,Primero Group,$100,$97,Public
70,Enviropacific,$90,$31,Private
71,Duratec,$89,$137,Public
72,Mainbrace Construction,$86,Unknown,Private
73,MaxiTRANS Industries,$86,$99,Public
74,Dynamic Drill,$74,$35,Public
75,Menai Civil,$70,Unknown,Private
76,EVZ Limited,$67,$21,Public
77,Parkview Australia,$66,$73,Private
78,Embelton Limited,$65,$25,Public
79,Lycopodium Limited,$63,$209,Public
80,Austin Engineering,$62,$99,Public
81,QLD Bridge & Civil,$55,Unknown,Private
82,Engenco Limited,$53,$138,Public
83,TRN Group,$53,Unknown,Private
84,Res Dev Group Ltd,$51,$101,Public
85,Shaw Contracting,$50,Unknown,Private
86,Westforce Construction,$38,$12,Private
87,AJ Lucas Group,$32,$117,Public
88,Hindmarsh Construction,$26,$129,Private
89,Oldfields Holdings,$22,$15,Public
90,PPK Group Limited,$2,$135,Public
,Allroads,Unknown,Unknown,Private
,Beilby Holdings,Unknown,Unknown,Private
,Bolte Civil,Unknown,Unknown,Private
,Doval Constructions,Unknown,Unknown,Private
,Enviro Infrastructure,Unknown,Unknown,Private
,Fairbrother,Unknown,Unknown,Private
,Ford Civil Contracting,Unknown,Unknown,Private
,Freyssinet Australia (Vinci Group),Unknown,Unknown,Public - Offshore
,Growth Built Pty Ltd,Unknown,Unknown,Private
,Hatch Australia,Unknown,Unknown,Private-Offshore
,JF Hull,Unknown,Unknown,Private
,JK Williams Contracting,Unknown,Unknown,Private
,Keslake Group,Unknown,Unknown,Private
,Knox Constructions,Unknown,Unknown,Private
,Mainland Civil,Unknown,Unknown,Private
,MFJ Constructions,Unknown,Unknown,Private
,Monford Group,Unknown,Unknown,Private
,Nace Civil,Unknown,Unknown,Private
,Robson Civil Projects,Unknown,Unknown,Private
,Silver Raven,Unknown,Unknown,Private
,The Crema Group,Unknown,Unknown,Private
,Vassalo Constructions,Unknown,Unknown,Private
